candidate_id,name,party,office,state,district,incumbent_challenge_full,total_receipts,total_disbursements,committee_ids,committee_names,committee_types,principal_committee
P80000722,"BIDEN, JOSEPH R JR",DEM,P,US,00,Incumbent,1169399313.45,1167836986.54,"['C00213652', 'C00431916', 'C00703975']","['BIDEN FOR PRESIDENT', 'BIDEN FOR PRESIDENT, INC.', 'HARRIS FOR PRESIDENT']","['P', 'P', 'P']",C00213652
P40011868,"BINKLEY, RYAN",REP,P,US,00,Challenger,11884131.37,11881473.94,['C00836544'],['BINKLEY FOR PRESIDENT 2024'],['P'],C00836544
P40013518,"BURGUM, DOUG",REP,P,US,00,Challenger,18007928.85,18005228.92,['C00842302'],"['DOUG BURGUM FOR AMERICA, INC.']",['P'],C00842302
P60008521,"CHRISTIE, CHRIS",REP,P,US,00,Challenger,7628635.12,7592971.69,"['C00580399', 'C00842237']","['CHRIS CHRISTIE FOR PRESIDENT INC', 'CHRIS CHRISTIE FOR PRESIDENT, INC.']","['P', 'P']",C00580399
P40013039,"DESANTIS, RON",REP,P,US,00,Challenger,375129.07,375129.07,['C00834853'],['DRAFT DESANTIS 2024 FUND'],['A'],
P40012593,"ELDER, LARRY",REP,P,US,00,Challenger,1376324.53,1375552.52,['C00839365'],['ELDER FOR PRESIDENT 24'],['P'],C00839365
P40010977,"HALEY, NIKKI",REP,P,US,00,Challenger,58378347.5,56690372.7,['C00833392'],['NIKKI HALEY FOR PRESIDENT INC.'],['P'],C00833392
P00009423,"HARRIS, KAMALA",DEM,P,US,00,Challenger,1158006007.36,1158116089.69,"['C00703975', 'C00694455']","['HARRIS FOR PRESIDENT', 'KAMALA HARRIS FOR THE PEOPLE']","['P', 'A']",C00703975
P40014011,"HURD, WILLIAM",REP,P,US,00,Challenger,1451894.03,1451894.03,['C00843540'],"['HURD FOR AMERICA, INC.']",['P'],C00843540
P40011850,"HUTCHINSON, W. ASA",REP,P,US,00,Challenger,1587081.91,1587081.91,['C00837104'],"['ASA FOR AMERICA, INC.']",['P'],C00837104
P80002975,"IMPERATO, DANIEL J",REP,P,US,,Challenger,282000.0,24931.37,"['C00842062', 'C00428003']","['IMPERATO FOR PRESIDENT 2024', 'IMPERATO FOR PRSIDENT 2008']","['P', 'P']",C00842062
P40014391,"JACKSON, E.W.",REP,P,US,00,Challenger,126242.91,126242.91,['C00845552'],['E.W. JACKSON FOR PRESIDENT'],['P'],C00845552
P40010928,"JOHNSON, PERRY",REP,P,US,00,Challenger,29704589.21,28803785.04,['C00833160'],['PERRY JOHNSON FOR PRESIDENT INC.'],['P'],C00833160
P40010746,"LAFFEY, STEVE",REP,P,US,00,Challenger,164274.02,164274.02,['C00832600'],['STEVE LAFFEY FOR PRESIDENT'],['P'],C00832600
P40010415,"NORRIS, JIM ALEXANDER SR",REP,P,US,00,Challenger,34730000.0,1250000.0,['C00831388'],['JIM A NORRIS FOR THE UNITED STATES PRESIDENT'],['P'],C00831388
P40016024,"PALMER, JASON MICHAEL MR.",DEM,P,US,00,Challenger,953373.39,953373.39,['C00855551'],['PALMER FOR PRESIDENT'],['P'],C00855551
P40011082,"RAMASWAMY, VIVEK",REP,P,US,00,Challenger,66197196.43,66197196.43,['C00833913'],['VIVEK 2024'],['P'],C00833913
