bonica.rid,bonica.cid,name,lname,ffname,gender,icpsr,id_fec
cand10,NA,"dole, robert j",dole,robert j,M,10513,P00000489
cand1000,3360167749,"arcuri, michael angelo",arcuri,michael angelo,M,20736,H6NY24128
cand10000020,31951183449,"taub, h russell",taub,h russell,U,H4RI01133,H4RI01133
cand10000022,5e15,"crabtree, valleri",crabtree,valleri,F,H6FL09146,H6FL09146
cand10000035,NA,"caffrey, andrew augustine iv",caffrey,andrew augustine,M,P60005683,P60005683
cand10000040,NA,"keith, pamela michele",keith,pamela michele,F,S6FL00285,S6FL00285
cand10000414,NA,"rendell, edward",rendell,edward,M,phil_2001164,PA_c_61018
cand10000584,29376412861,"taubenberger, alfred w",taubenberger,alfred w,M,H2PA13094,H2PA13094
cand10001129,112481407,"stewart, corey alan",stewart,corey alan,M,VA_CC-12-00196,S8VA00297
cand10001602,3771389925,"salahi, tareq dirgham",salahi,tareq dirgham,M,VA_CC-12-01055,VA_CC-12-01055
cand10001651,5493006373,"savage, rich",savage,rich,M,VA_CC-12-01212,VA_CC-12-01212
cand10001653,NA,"chopra, aneesh p",chopra,aneesh p,M,VA_CC-12-01215,VA_CC-12-01215
cand10001696,5734242240,"fairfax, justin e",fairfax,justin e,M,VA_CC-12-01390,VA_CC-12-01390
cand10001697,NA,"martin, hon stephen holliday",martin,hon stephen holliday,NA,VA_CC-12-01391,VA_CC-12-01391
cand10001707,5e15,"davis, jeannemarie devolites",davis,jeannemarie devolites,F,VA_CC-12-01416,VA_CC-12-01416
cand10001716,NA,"jackson, bishop earl walker sr",jackson,bishop earl walker,M,VA_CC-12-01464,VA_CC-12-01464
cand10001718,NA,"snyder, peter allen",snyder,peter allen,M,VA_CC-12-01467,VA_CC-12-01467
cand10001931,3818443726,"parmele, john oscian jr",parmele,john oscian,M,VA_CC-13-00432,VA_CC-13-00432
cand10001941,3727266084,"vuyyuru, lokesh babu",vuyyuru,lokesh babu,NA,VA_CC-13-00470,VA_CC-13-00470
cand10002110,5e15,"chase, amanda freeman",chase,amanda freeman,F,VA_CC-14-00257,VA_CC-14-00257
cand10002225,NA,"hager, john h",hager,john h,M,VA_CC980628,VA_CC980628
cand10002230,3067029235,"kilgore, jerry w",kilgore,jerry w,M,VA_CC980661,VA120483
cand10002361,NA,"potts, russ",potts,russ,M,VA_CC981612,VA_CC981612
cand100025,5643906870,"thompson, tommy g",thompson,tommy g,M,P60003795,P60003795
cand100031,2939986399,"forbes, steve",forbes,steve,M,P60003852,P60003852
cand1001,5e15,"shuler, joseph h",shuler,joseph h,M,20737,H6NC11172
cand100146,4087300822,"carter, willie felix",carter,willie felix,M,P80000268,P80000268
cand100196,3259160634,"buchanan, patrick j",buchanan,patrick j,M,P80000805,P80000805
