year,month,rdpi,cpi,unemp,rgdppc,ics,sp500,jobs,pce
1999,1,9444.1,164.7,4.3,3.59764,103.9,1279.640015,127704,6073.9
1999,2,9476.2,164.7,4.4,3.59764,108.1,1238.329956,128118,6099.2
1999,3,9484.1,164.8,4.2,3.59764,105.7,1286.369995,128233,6133
1999,4,9453,165.9,4.3,3.59764,104.6,1335.180054,128595,6199.5
1999,5,9469.3,166,4.2,3.59764,106.8,1301.839966,128810,6232.1
1999,6,9501.3,166,4.3,3.59764,107.3,1372.709961,129088,6260.3
1999,7,9519,166.7,4.3,3.59764,106,1328.719971,129423,6287.6
1999,8,9559.1,167.1,4.2,3.59764,104.5,1320.410034,129569,6331.9
1999,9,9546.7,167.8,4.2,3.59764,107.2,1282.709961,129781,6386.5
1999,10,9598.7,168.1,4.1,3.59764,103.2,1362.930054,130179,6411.4
1999,11,9660.9,168.4,4.1,3.59764,107.2,1388.910034,130467,6448.7
1999,12,9735.9,168.8,4,3.59764,105.4,1469.25,130781,6541
2000,1,9799.9,169.3,4,2.9478,112,1394.459961,131009,6542.9
2000,2,9837.9,170,4.1,2.9478,111.3,1366.420044,131120,6625.3
2000,3,9864,171,4,2.9478,107.1,1498.579956,131604,6686.5
2000,4,9913.7,170.9,3.8,2.9478,109.2,1452.430054,131883,6679.1
2000,5,9954.5,171.2,4,2.9478,110.7,1420.599976,132106,6709.7
2000,6,9982.3,172.2,4,2.9478,106.4,1454.599976,132060,6746.9
2000,7,10035.9,172.7,4,2.9478,108.3,1430.829956,132228,6768.5
2000,8,10098.3,172.7,4.1,2.9478,107.3,1517.680054,132231,6802.8
2000,9,10110.3,173.6,3.9,2.9478,106.8,1436.51001,132357,6888.6
2000,10,10139.2,173.9,3.9,2.9478,105.8,1429.400024,132352,6893.8
2000,11,10143.5,174.2,3.9,2.9478,107.6,1314.949951,132553,6909.8
2000,12,10164.3,174.6,3.9,2.9478,98.4,1320.280029,132718,6952.2
2001,1,10211.7,175.6,4.2,-0.04257,94.7,1366.01001,132699,6987.4
2001,2,10223.4,176,4.2,-0.04257,90.6,1239.939941,132786,7001.8
2001,3,10254.4,176.1,4.3,-0.04257,91.5,1160.329956,132751,6996.7
2001,4,10233.1,176.4,4.4,-0.04257,88.4,1249.459961,132455,7004.2
2001,5,10214.7,177.3,4.3,-0.04257,92,1255.819946,132411,7052.8
2001,6,10218.1,177.7,4.5,-0.04257,92.6,1224.380005,132296,7069.7
2001,7,10370.7,177.4,4.6,-0.04257,92.4,1211.22998,132173,7082.3
2001,8,10543.1,177.4,4.9,-0.04257,91.5,1133.579956,132024,7121.7
2001,9,10452.8,178.1,5,-0.04257,81.8,1040.939941,131765,7007
2001,10,10267.7,177.6,5.3,-0.04257,82.7,1059.780029,131452,7212.9
2001,11,10279.7,177.5,5.5,-0.04257,83.9,1139.449951,131141,7182.3
2001,12,10298.9,177.4,5.7,-0.04257,88.8,1148.079956,130984,7166.7
2002,1,10514.7,177.7,5.7,0.73557,93,1130.199951,130853,7184.6
2002,2,10531.6,178,5.7,0.73557,90.7,1106.72998,130732,7225.2
2002,3,10539,178.5,5.7,0.73557,95.7,1147.390015,130720,7243.4
2002,4,10574.2,179.3,5.9,0.73557,93,1076.920044,130616,7312.5
2002,5,10616.5,179.5,5.8,0.73557,96.9,1067.140015,130632,7288.9
2002,6,10648.2,179.6,5.8,0.73557,92.4,989.820007,130682,7322.5
2002,7,10621,180,5.8,0.73557,88.1,911.619995,130585,7387.3
2002,8,10623,180.5,5.7,0.73557,87.6,916.070007,130587,7412.6
2002,9,10633.6,180.8,5.7,0.73557,86.1,815.280029,130498,7391.5
